,restaurant,review_text
0,Good Morning Restaurant,Pizza phong cách Ý. Ngán hải sản nên cả nhà ghé đây ăn. Giá cả rẻ và món ăn trình bày đẹp và đúng hợp khẩu vị l.
1,Hạt Dẻ Trùng Khánh,"- Vị trí: chỉ là 1 chiếc xe nho nhỏ nằm ở khu ngã 5 sân bay Cát Bi thôi, phía trước quán phở Hoà đông khách và đối diện mấy hàng hoa nhé các bạn.
- chất lượng: mình rất thích ăn hạt dẻ ở đây vì "
2,Bột - Healthy & Weight Loss Food - Shop Online,"Nay lang thang trên BM thấy đang khuyến mãi xong lên foody đọc review thấy khen cũng nhiều nên order ăn thử, cảm nhận là vị ngon, đồ ăn nhiều, ăn no, mình từng order nhìu nơi khác nhau đa số đồ ăn siêu ít và hơi khô, quán này bán ok nè, mai sẽ thử món khác :)"
3,Bánh Giò Chợ Nguyễn Công Trứ,"Quán nằm trong chợ Nguyễn Công Trứ, cũng dễ tìm bạn chỉ cần đi thẳng vào chợ là tới. Quán tương đối đông và không có chỗ để xe. Bên cạnh bán trà đá trứng vịt lộn, trứng ngải cứu (trứng ngải cứu có nước chấm siêu ngon). Bánh bạn có thể ăn kèm topping là giò lụa, giò bò, nem chua tuỳ chọn. Đặc biệt nhất phải kể đến tương ớt. Vị cay ngọt rất đặc biệt. Lần nào qua mình cũng phải đá 2 cái các bạn ạ. Bạn có thể tới mua mang về nhé. Bánh hết tương đối nhanh."
4,Quán Quảng - Bún Quảng,"Ngãi heo với heo thiệttttt 🐷🐷🐷
🤤🤤 bún nem chả gì gì của Quảng - bao ngon, bao thơm, bao no 🤤🤤
 quán này ở trần văn khéo .Kế sò ốc 99. Quán quảng. Mình ăn rất vừa miệng. Thịt nướng mềm. Nước chấm vừa ăn. Do mình ko thích ăn dầu mỡ nhìu nên chả giò rán nó mình ăn ko nhìu. Nhưng ko ngấy. Mỗi khúc chả đều có tôm nguyên con. Nhưng nếu lột vỏ tôm hả bỏ vào chả giò thì ổn hơn. 😌"
5,Bờ Kè Gia Đình - Hải Sản Bình Dân,"Quán bờ kè gia đình,giá ăn bình dân,ngon,chủ quán thân thiện nhiệt tình,lần nào ra đây mình cũng ghé ủng hộ quán,các bạn nếu có ra đây thì nên ghé thử nha"
6,Vân Anh Quán - Quán Hải Sản,"Ghé Mũi né nên thử đồ ăn ở quán. Lẩu cá đục ngon tuyệt, hải sản tươi nấu ăn rất ngon. Giá cả rất rẻ phù hợp ăn trưa và tối. Anh chị chủ quán dễ chịu nhiệt tình"
7,Bulgogi - Đồ Nướng Than Hoa - Lê Hồng Phong,"Buffet ở Hải Phòng thì phải chọn Bulgogi!!!!
Đồ ăn ngon, đa dạng từ hải sản tới các loại thịt, đặc biệt là không khói. Ăn ở nhiều chỗ khác thường không có hút khói.
Đặc biệt là món bẹ sữa với xiên nướng, ăn thịt ngọt, không lạt.
Khi hết món ở bàn chọn buffet thì ngay lập tức vó, không phải đợi hay gọi.
Tay nghề nướng của nhân viên cao, không bị xém hay dai sống như ở yoyo hay những nơi khác.
Nhân viên thái độ phục vụ thân thiện, giao lưu tự nhiên với khác hàng."
8,Bánh Bạch Tuộc TAKOYAKI - Anh Tuộc,"1 năm 2l đi vũng tàu ăn nha mí bạn. Viên to chất luog
Vị trí : tọa lạc con đường huyết mạch VT - Ba Cu
Giá : rẻ rề -20 25k hộp tùy vị
Không gian : takeaway là chủ yếu, ai mún ngồi thì có hàg ghế bàn đầy đủ
Chất lượng : viên to nha, ít bột, cắn vô cảm nhận dc miếg bạch tuột to và tươi, dòn lun. Ở tp ăn hết hộp r mà k bik có bạch tuột trỏng k nữa :((( sốt có 4l, m ăn vị phô mai vs vị j chua ngọt mặn rất ngon. Lâu lm rồi mới dc ăn tako chất như v
Vừa viết review vừa chảy nc dãi vì thèm, tận t12 mới dc ăn nữa lận"
9,The L_o_n_g Bar - InterContinental Resort,"Phong cảnh đẹp, thức uống ngon tại Resort sang trọng nhất thế giới. 
Bạn có thể ngồi ở LongBar  nhâm nhi ly Cocktail với một ít snack và ngắm cảnh biển, đặc biệt là những ngày nắng đẹp.
bây giờ cocktail nổi bật nhất ở đây là : Lotus Cocktail - cocktail đạt giải nhất tại cuộc thi Bartender VN 2015 với thành phần chính là chè hạt sen và một ít rượu, mang đậm phong cách việt . ngoài ra còn có Heavenly Fire với vị cay cay của ớt, thơm mùi vanilla và nồng nồng chút rượu vodka..
Hoặc bạn có thể tìm hương vị cocktail phổ biến như Long Island Iced Tea hay Singapore Sling ...
Hãy dành chút thời gian vào cuối tuần để lên đây thư giãn."
