Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.8422608989523488,0.826960881707672,0.826960881707672,0.8506050542479086,6.07950758934021
BernoulliNB,0.8282358905035485,0.8256035890382591,0.8256035890382593,0.8391475463325809,3.5175364017486572
XGBClassifier,0.8288273065224738,0.8171352231133449,0.8171352231133449,0.8388939357220496,53.02668237686157
ExtraTreesClassifier,0.8634673876309564,0.8154612783753834,0.8154612783753833,0.8665169565719641,32.099859952926636
NearestCentroid,0.8066914498141264,0.8150939934574313,0.8150939934574313,0.8208598683923761,2.250807046890259
RandomForestClassifier,0.8618621155795877,0.8144510699534353,0.8144510699534353,0.8651117097306602,26.253304481506348
SVC,0.7869212571814802,0.8060057905090778,0.806005790509078,0.8041106741630567,891.7898745536804
NuSVC,0.7887799932409598,0.8035173477411628,0.8035173477411628,0.805460245829495,1185.6029570102692
CalibratedClassifierCV,0.8087191618790132,0.7992986432145335,0.7992986432145335,0.8211956394253126,257.2753689289093
RidgeClassifierCV,0.7903852652923284,0.7929433898509033,0.7929433898509032,0.8059752104475248,23.33337926864624
RidgeClassifier,0.7903007772896249,0.7928902209865902,0.7928902209865902,0.805903036706592,4.1152284145355225
LinearDiscriminantAnalysis,0.790047313281514,0.792578291152701,0.792578291152701,0.8056744642767306,26.354258060455322
AdaBoostClassifier,0.7896248732679959,0.7897212517349841,0.789721251734984,0.8051062247961848,18.533768892288208
LogisticRegression,0.7897938492734031,0.7884557802950592,0.7884557802950592,0.8051382856309727,4.529454231262207
LinearSVC,0.7923284893545116,0.7874596511282993,0.7874596511282994,0.8070814956026268,86.00457453727722
BaggingClassifier,0.8119297059817506,0.7747974161331125,0.7747974161331125,0.8212436879417497,46.88200283050537
SGDClassifier,0.7669820885434269,0.7739477636895834,0.7739477636895834,0.7856692426745178,12.926074981689453
Perceptron,0.7738256167624198,0.7710905493742864,0.7710905493742864,0.7909411263111431,4.1988654136657715
PassiveAggressiveClassifier,0.7505914160189253,0.7650048131814009,0.765004813181401,0.7717469204262383,3.467627763748169
DecisionTreeClassifier,0.7599695843190267,0.7393549462434799,0.7393549462434799,0.7771632090603903,9.346397161483765
KNeighborsClassifier,0.7257519432240622,0.7323017640869507,0.7323017640869507,0.7493799124567019,661.2456197738647
ExtraTreeClassifier,0.7330179114565731,0.7230037714914146,0.7230037714914146,0.7545179527405972,2.019883155822754
QuadraticDiscriminantAnalysis,0.780162216965191,0.7189864615281292,0.7189864615281293,0.7900677104370244,43.689040422439575
GaussianNB,0.8031429537005745,0.7078412881416642,0.7078412881416642,0.8049087180654825,2.3477847576141357
LabelSpreading,0.7911456573166611,0.5268336612079966,0.5268336612079966,0.7275670539954964,28.11150550842285
LabelPropagation,0.7911456573166611,0.5268336612079966,0.5268336612079966,0.7275670539954964,27.778785228729248
DummyClassifier,0.49535315985130113,0.49814267514943245,0.49814267514943245,0.5430902961243359,1.6171252727508545
